popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,energy_acoustic_ratio
44.0,203337,0,0.608,0.553,10,-3.493,1,0.0271,0.393,0.0,0.153,0.541,143.993,3,r-n-b,0.8769481838881444
83.0,208786,0,0.775,0.613,3,-4.586,0,0.0542,0.109,2.33e-05,0.134,0.797,100.066,4,pop,1.8829288563663484
49.0,262373,0,0.797,0.612,2,-9.043,0,0.0313,0.271,1.07e-05,0.314,0.919,118.162,4,synth-pop,1.1786549963416462
0.0,191733,0,0.582,0.829,9,-3.517,1,0.193,0.0522,0.0,0.264,0.716,90.959,4,indie-pop,2.8083603913232404
41.0,283706,0,0.705,0.713,4,-6.676,0,0.0437,0.26,1.55e-05,0.0499,0.498,129.899,4,synth-pop,1.3168908963198416
56.0,264960,0,0.735,0.583,2,-8.648,1,0.0277,0.193,5.15e-06,0.183,0.941,107.741,4,synth-pop,1.3875821913043194
0.0,152000,0,0.712,0.251,6,-12.412,1,0.0473,0.807,0.0,0.108,0.627,79.956,5,indie-pop,0.2705182870803111
50.0,195066,0,0.325,0.947,2,-7.304,1,0.115,0.174,0.0,0.116,0.593,202.846,4,r-n-b,1.8580821121591276
66.0,318493,0,0.594,0.454,5,-9.422,0,0.0755,0.497,3.83e-05,0.0736,0.705,133.825,4,pop,0.6479649577667124
25.0,185946,0,0.742,0.78,8,-4.418,1,0.0312,0.248,8.31e-06,0.111,0.58,127.999,4,synth-pop,1.4188898393693419
66.0,371790,0,0.296,0.582,9,-5.18,0,0.0413,0.449,0.0,0.319,0.365,168.4,3,pop,0.8300063632771426
48.0,213240,0,0.74,0.615,2,-13.55,0,0.0295,0.335,0.0138,0.328,0.961,117.291,4,synth-pop,1.0404029025821862
26.0,250133,0,0.506,0.912,6,-10.595,1,0.0443,0.00145,0.00283,0.345,0.57,154.997,4,synth-pop,5.922234767093949
47.0,185149,0,0.668,0.682,9,-7.999,1,0.0419,0.00143,0.00469,0.467,0.565,139.998,4,indie-pop,5.640695117720095
74.0,191868,0,0.724,0.618,2,-9.007,1,0.0534,0.0533,0.704,0.0886,0.0683,100.021,4,pop,2.5161804425351013
76.0,208000,0,0.772,0.649,2,-6.411,1,0.143,0.0724,0.0,0.0761,0.824,90.072,4,pop,2.2866550664823055
1.0,162009,0,0.541,0.753,0,-6.512,1,0.0511,0.0677,0.0,0.108,0.572,149.743,4,indie-pop,2.4816261657088385
65.0,236933,0,0.533,0.732,7,-7.901,0,0.0424,0.166,0.000189,0.138,0.554,90.315,4,pop,1.683289222054865
4.0,125217,1,0.816,0.754,2,-5.922,1,0.152,0.163,0.00199,0.105,0.703,92.023,4,hip-hop,1.7223309627962922
40.0,203924,0,0.481,0.449,11,-10.907,1,0.0338,0.638,0.00264,0.705,0.338,122.741,5,r-n-b,0.5321919730383531
1.0,177280,0,0.474,0.916,8,-3.93,1,0.0624,0.00504,0.0,0.325,0.745,154.948,4,indie-pop,5.028184594616754
63.0,230204,0,0.663,0.412,5,-8.195,0,0.364,0.00434,0.019,0.215,0.356,98.023,4,hip-hop,4.3586755843331355
42.0,150493,0,0.839,0.755,3,-3.649,1,0.0448,0.428,2.47e-06,0.0532,0.97,114.978,4,r-n-b,1.015196896515934
64.0,185875,0,0.816,0.8,10,-5.705,0,0.0738,0.028,7.38e-05,0.129,0.533,118.01,4,synth-pop,3.352924325148821
41.0,173280,0,0.64,0.903,4,-6.138,0,0.171,0.0197,0.000142,0.167,0.38,125.095,4,r-n-b,3.798253643327241
66.0,193333,0,0.636,0.726,10,-8.205,0,0.0456,0.341,0.00727,0.105,0.542,162.035,4,pop,1.138732282457535
60.0,320000,0,0.665,0.624,10,-11.106,0,0.049,0.505,0.0104,0.518,0.717,127.083,4,synth-pop,0.8034362424189208
0.0,156265,0,0.637,0.705,10,-7.546,0,0.0502,0.121,0.0,0.0857,0.553,158.013,4,indie-pop,1.9137836502904348
72.0,320654,1,0.689,0.338,11,-7.634,0,0.0629,0.349,5.7e-05,0.0649,0.568,128.012,4,indie-pop,0.6758556834498844
57.0,230338,0,0.651,0.661,7,-7.322,1,0.026,0.488,0.00422,0.315,0.762,118.017,4,indie-pop,0.8551547318824237
0.0,207925,0,0.705,0.918,6,-2.771,0,0.0678,0.0405,0.000106,0.0803,0.537,92.513,4,indie-pop,3.140718888211102
